[00:00.1] 0.1s  Hay una estufa de barro en el rincón del galpón de mi casa.
[00:04.2] 4.2s  La hizo mi viejo en 1979 con la tierra que sacamos al cavar el pozo del aljibe.
[00:11.1] 11.1s  Le pusimos dos baldes de arcilla, tres baldes de tierra del propio terreno, un puñado de paja seca y agua hasta que la mezcla quedó como masa de pan.
[00:21.8] 21.8s  La levantamos en una tarde.
[00:24.3] 24.3s  Se secó en una semana.
[00:25.9] 25.9s  Lleva 46 años prendiéndose todos los inviernos sin un solo arreglo serio.
[00:31.7] 31.7s  No tiene gas, no tiene garrafa, no tiene leña gruesa, no tiene electricidad.
[00:38.9] 38.9s  Funciona con cinco ramitas finas.
[00:42.1] 42.1s  Cinco.
[00:43.6] 43.6s  De esas que junta cualquier chico en el jardín en dos minutos.
[00:47.3] 47.3s  Del podado del paraíso.
[00:49.4] 49.4s  Del laurel.
[00:50.6] 50.6s  De las que caen solas del fondo.
[00:53.1] 53.1s  Con cinco ramitas esa estufa me calienta el galpón entero durante seis horas.
[00:58.0] 58.0s  Y la chimenea no echa humo negro.
[01:00.9] 60.9s  Echa una columna de aire transparente, casi invisible, porque la combustión es tan completa que lo único que sale es vapor de agua y dióxido de carbono.
[01:10.7] 70.7s  Esto no es una opinión mía.
[01:13.7] 73.7s  Es un dato verificable con cualquier medidor de gases.
[01:18.0] 78.0s  Una estufa de este tipo, bien construida, quema a más de mil grados centígrados en la cámara interna.
[01:24.3] 84.3s  Y a esa temperatura no queda nada sin quemar.
[01:27.9] 87.9s  Cero hojín.
[01:30.6] 90.6s  Cero alquitrán.
[01:33.1] 93.1s  Cero ceniza pesada.
[01:36.5] 96.5s  Es la combustión más limpia que puede hacer un humano con un fuego abierto.
[01:41.2] 101.2s  Y la idea original se inventó hace tres mil años en algún lugar de Asia Central.
[01:46.7] 106.7s  Mi nombre no importa.
[01:48.8] 108.8s  Llevo treinta y dos años construyendo.
[01:51.4] 111.4s  Y aprendí esto del mismo modo que aprendí todo.
[01:55.3] 115.3s  Mirando a alguien mayor mientras hacía algo bien.
[01:58.9] 118.9s  En este caso, mi viejo, en el galpón del fondo.
[02:03.7] 123.7s  Un sábado a la tarde, con las manos llenas de barro y un libro alemán de los años cincuenta.
[02:11.0] 131.0s  Abierto en una página que él había traducido con un diccionario porque no entendía alemán, pero entendía dibujos.
[02:19.4] 139.4s  El libro hablaba de una cosa que en castellano no tenía nombre todavía.
[02:24.3] 144.3s  Que después le pusieron estufa cohete por la forma en que arde el fuego adentro, hacia arriba.
